I_d,I_q,Psi_d,Psi_q,L_dd,L_dq,L_qd,L_qq
-20.0,15.0,0.0026892833977481935,0.020322909209827867,0.0008070421955867167,1.0759692218867214e-05,9.974057314343368e-06,0.0004236980118114234
-20.0,20.0,0.0025692195740538277,0.021529387350692215,0.0006830879643776178,-3.324176524299509e-05,-3.372938133236748e-05,0.00017786198616149523
-20.0,25.0,0.002410381718710073,0.022304799336354496,0.0006031185327035778,-2.9960311097055436e-05,-3.0316033826958987e-05,0.00013837497762964672
-20.0,30.0,0.002276809824819159,0.022925233022958645,0.000545957748236909,-1.2742368472946233e-05,-2.5340152575880185e-05,6.018472207813159e-05
-15.0,-30.0,0.005054128818163616,-0.02260158824225451,0.0005321727634587983,3.862874921220553e-05,7.743631220781708e-05,6.69320124975631e-05
-15.0,-25.0,0.005476514230524868,-0.021909072434630774,0.0005839793279314022,9.746661267679057e-05,9.660781616849012e-05,0.00015473634685915033
-15.0,-20.0,0.0060228308728677155,-0.021043313566316727,0.0006520353141834821,0.00012182670052392645,0.00012094379718348118,0.00019604441038086566
-15.0,-15.0,0.006702365186812407,-0.01980331437949667,0.0007537154056149368,0.0001450632727788923,0.0001447849408905319,0.0003543508887954218
-15.0,-10.0,0.007248362300161715,-0.016580296410514884,0.0009417827049441184,7.778451322636614e-05,7.825678503135878e-05,0.0009497688550989126
-15.0,-5.0,0.007241862314747447,-0.009699774038581282,0.0010689505740892884,-6.161305683847222e-05,-6.305944896831625e-05,0.0017879171498881347
-15.0,0.0,0.007081790096118743,0.0003474371749761874,0.0010862740855384497,8.289645432066938e-06,-6.161014586535464e-06,0.002111814163658474
-15.0,5.0,0.007214907277763631,0.010287723706792207,0.0010620886440810132,5.1193107698675576e-05,5.181914769204235e-05,0.0017495828971188928
-15.0,10.0,0.007145777461731792,0.016910675607184195,0.0009333437065289651,-8.475926134680365e-05,-8.576786960104416e-05,0.0009087205380667112
-15.0,15.0,0.0065626415466801405,0.019953536192377393,0.0007493759512052989,-0.00014597376262389685,-0.00014711467233859374,0.00033105302852310027
-15.0,20.0,0.0059004611048915495,0.021143947526620497,0.0006481038782436925,-0.00011770952774615372,-0.00011825298153793186,0.00019134505400561494
-15.0,25.0,0.005374980389722418,0.021990457095173117,0.0005806938474375488,-9.350172550921561e-05,-9.422413336968027e-05,0.00015227581968585627
-15.0,30.0,0.004970464689565474,0.02267155614880237,0.0005285091332911312,-3.7087277665250925e-05,-7.532532566994049e-05,6.562476247961763e-05
-10.0,-30.0,0.007643627086093476,-0.02209952554926719,0.0005017143519524936,6.054467574029077e-05,0.00012169621843455111,7.767433639927729e-05
-10.0,-25.0,0.008303735532738308,-0.021285101832747077,0.0005460168853182484,0.0001528539208962154,0.0001520937896431695,0.00018445910973138142
-10.0,-20.0,0.009179349613983976,-0.02023966805741383,0.0006152773567047453,0.0002049273263729446,0.00020397787128395543,0.00024346986102609025
-10.0,-15.0,0.010395614321203832,-0.018715418333411154,0.000701099828716567,0.0002734388000482759,0.0002719542684735508,0.00038548087894491197
